a	@
blythe	bh l aI D
bo	bh @U
boak	bh @U k
boar	bh O@
board	bh O@ d
boards	bh O@ d z
board's	bh O@ d z
boart	bh O@ t
boast	bh @U s t
boasts	bh @U s t s
boat	bh @U t
boats	bh @U t s
boat's	bh @U t s
bob	bh Q b
bob's	bh Q b z
boche	bh Q tS
bock	bh Q k
bode	bh @U d
bodes	bh @U d z
boe	bh @U
boehm	bh @U m
boehme	bh @U m
boeke	bh @U k
boer	bh O@
boers	bh O@ z
boesch	bh @U S
boff	bh O: f
bog	bh Q g
bogged	bh Q g d
boggs	bh O: g z
bogs	bh Q g z
bogue	bh @U g
bohm	bh Q m
bohr	bh O@
boice	bh OI s
boies	bh OI z
boil	bh OI l
boiled	bh OI l d
boils	bh OI l z
bois	bh w Q
bok	bh Q k
bol	bh Q l
bold	bh @U l d
bolds	bh @U l d z
bole	bh @U l
boles	bh @U l z
boll	bh @U l
bolls	bh @U l z
bolt	bh @U l t
bolte	bh @U l t
bolts	bh @U l t s
bom	bh Q m
bomb	bh Q m
bombed	bh Q m d
bombs	bh Q m z
bon	bh Q n
bond	bh Q n d
bonds	bh Q n d z
bond's	bh Q n d z
bone	bh @U n
boned	bh @U n d
bones	bh @U n z
bong	bh Q N
bonk	bh Q N k
bonn	bh Q n
bonne	bh Q n
bonnes	bh O: n z
bonn's	bh Q n z
boo	bh u:
boob	bh u: b
boobs	bh u: b z
booed	bh u: d
book	bh U k
booked	bh U k t
books	bh U k s
book's	bh U k s
boole	bh u: l
boom	bh u: m
boomed	bh u: m d
booms	bh u: m z
boon	bh u: n
boone	bh u: n
boor	bh U@
boord	bh U@ d
boors	bh U@ z
boos	bh u: z
boose	bh u: s
boost	bh u: s t
boosts	bh u: s t s
boot	bh u: t
boote	bh u: t
booth	bh u: T
boothe	bh u: D
booths	bh u: T s
boots	bh u: t s
booz	bh u: z
booze	bh u: z
bop	bh Q p
bopp	bh Q p
bordes	bh O@ d z
bore	bh O@
bored	bh O@ d
bores	bh O@ z
borg	bh O@ g
bork	bh O@ k
bork's	bh O@ k s
born	bh O@ n
borne	bh O@ n
bors	bh O@ z
borsch	bh O@ S
borscht	bh O@ S t
bort	bh O@ t
bortz	bh O@ t s
bos	bh Q s
bosch	bh O: S
bose	bh @U z
bosh	bh Q S
boss	bh O: s
bossed	bh Q s t
botch	bh Q tS
botched	bh Q tS t
both	bh @U T
bothe	bh @U D
bott	bh Q t
botts	bh Q t s
bouch	bh aU tS
bouche	bh aU tS
bough	bh aU
boughs	bh aU z
bought	bh Q t
boule	bh u: l
bounce	bh aU n s
bounced	bh aU n s t
bound	bh aU n d
bounds	bh aU n d z
bour	bh aU r
bourg	bh O@ g
bourke	bh @r k
bourn	bh O@ n
bourne	bh O@ n
bourque	bh U@ k
bourse	bh O@ s
bouse	bh aU s
bout	bh aU t
bouts	bh aU t s
boutte	bh u: t
bove	bh @U v
bow	bh aU
bowe	bh @U
bowed	bh aU d
bowes	bh @U z
bowl	bh @U l
bowlds	bh @U l d z
bowled	bh @U l d
bowles	bh @U l z
bowls	bh @U l z
bown	bh @U n
bowne	bh @U n
bows	bh aU z
bowse	bh @U s
bowsed	bh aU z d
box	bh Q k s
boxed	bh Q k s t
boy	bh OI
boyce	bh OI s
boyd	bh OI d
boyd's	bh OI d z
boyes	bh OI z
boyle	bh OI l
boyne	bh OI n
boys	bh OI z
boy's	bh OI z
boys'	bh OI z
boyt	bh OI t
bra	bh r Q
braasch	bh r Q S
brace	bh r eI s
braced	bh r eI s t
brach	bh r { tS
brack	bh r { k
brad	bh r { d
brad's	bh r { d z
brae	bh r eI
brag	bh r { g
bragg	bh r { g
bragged	bh r { g d
braggs	bh r { g z
brags	bh r { g z
brahm	bh r Q m
brahms	bh r Q m z
braid	bh r eI d
braids	bh r eI d z
braille	bh r eI l
brailles	bh r eI l z
brain	bh r eI n
brained	bh r eI n d
brains	bh r eI n z
brain's	bh r eI n z
braise	bh r eI z
braised	bh r eI z d
brake	bh r eI k
braked	bh r eI k t
brakes	bh r eI k s
bram	bh r { m
brame	bh r eI m
bran	bh r { n
branch	bh r { n tS
branched	bh r { n tS t
brand	bh r { n d
brande	bh r { n d
brandes	bh r { n d z
brands	bh r { n d z
brand's	bh r { n d z
brandt	bh r { n t
brank	bh r { N k
brant	bh r { n t
braque	bh r { k
bras	bh r { s
brash	bh r { S
brass	bh r { s
brat	bh r { t
brats	bh r { t s
brau	bh r aU
braun	bh r O: n
braun's	bh r O: n z
brause	bh r O: z
brave	bh r eI v
braved	bh r eI v d
braves	bh r eI v z
brawl	bh r O: l
brawls	bh r O: l z
brawn	bh r O: n
bray	bh r eI
braz	bh r { z
brea	bh r i:
breach	bh r i: tS
breached	bh r i: tS t
bread	bh r e d
breads	bh r e d z
breadth	bh r e d T
break	bh r eI k
breaks	bh r eI k s
